,Peers,Miners,Contracts,Transactions,Time,Difficulty
11,16,1,100,100,1.2349097728729248,1
12,16,1,100,100,1.2334933280944824,1
13,16,1,100,100,1.2334933280944824,1
14,16,1,100,100,1.2359874248504639,1
0,18,1,100,100,0.582587718963623,1
1,18,1,100,100,1.0376129150390625,1
2,18,1,100,100,1.0376129150390625,1
3,18,1,100,100,1.0376129150390625,1
4,18,1,100,100,1.0376129150390625,1
5,18,1,100,100,1.0425429344177246,1
6,18,1,100,100,1.0474622249603271,1
7,18,1,100,100,1.094461441040039,1
8,18,1,100,100,1.094461441040039,1
9,18,1,100,100,1.094461441040039,1
10,18,1,100,100,1.094461441040039,1
11,18,1,100,100,1.2034666538238525,1
12,18,1,100,100,1.2034666538238525,1
13,18,1,100,100,1.206460952758789,1
14,18,1,100,100,1.206460952758789,1
15,18,1,100,100,1.26570463180542,1
16,18,1,100,100,1.2677044868469238,1
0,20,1,100,100,0.5822482109069824,1
1,20,1,100,100,1.0089473724365234,1
2,20,1,100,100,1.0089473724365234,1
3,20,1,100,100,1.0063040256500244,1
4,20,1,100,100,1.0089473724365234,1
5,20,1,100,100,1.0089473724365234,1
6,20,1,100,100,1.0089473724365234,1
7,20,1,100,100,1.0089473724365234,1
8,20,1,100,100,1.0063040256500244,1
9,20,1,100,100,1.0089473724365234,1
10,20,1,100,100,1.0089473724365234,1
11,20,1,100,100,1.1277661323547363,1
12,20,1,100,100,1.1277661323547363,1
13,20,1,100,100,1.1251227855682373,1
14,20,1,100,100,1.1277661323547363,1
15,20,1,100,100,1.1459152698516846,1
16,20,1,100,100,1.2402067184448242,1
17,20,1,100,100,1.2422080039978027,1
18,20,1,100,100,1.2422080039978027,1
0,2,1,100,100,0.5859971046447754,1
0,4,1,100,100,0.5750362873077393,1
1,4,1,100,100,1.0981411933898926,1
2,4,1,100,100,1.2085342407226562,1
0,6,1,100,100,0.5857839584350586,1
1,6,1,100,100,1.0335972309112549,1
2,6,1,100,100,1.0335972309112549,1
3,6,1,100,100,1.1427509784698486,1
4,6,1,100,100,1.1427509784698486,1
0,8,1,100,100,0.5942106246948242,1
1,8,1,100,100,1.0467324256896973,1
2,8,1,100,100,1.0635600090026855,1
3,8,1,100,100,1.0635600090026855,1
4,8,1,100,100,1.0635600090026855,1
5,8,1,100,100,1.0635600090026855,1
6,8,1,100,100,1.0635600090026855,1
0,10,1,100,100,0.5949311256408691,1
1,10,1,100,100,1.0678319931030273,1
2,10,1,100,100,1.0678319931030273,1
3,10,1,100,100,1.0678319931030273,1
4,10,1,100,100,1.0678319931030273,1
5,10,1,100,100,1.1158525943756104,1
6,10,1,100,100,1.1168534755706787,1
7,10,1,100,100,1.193892240524292,1
8,10,1,100,100,1.193892240524292,1
0,12,1,100,100,0.5734107494354248,1
1,12,1,100,100,1.074643611907959,1
2,12,1,100,100,1.0761587619781494,1
3,12,1,100,100,1.0761587619781494,1
4,12,1,100,100,1.1751725673675537,1
5,12,1,100,100,1.1766877174377441,1
6,12,1,100,100,1.1795246601104736,1
7,12,1,100,100,1.193718433380127,1
8,12,1,100,100,1.2867162227630615,1
9,12,1,100,100,1.2867162227630615,1
10,12,1,100,100,1.285201072692871,1
0,14,1,100,100,0.5701651573181152,1
1,14,1,100,100,1.0473673343658447,1
2,14,1,100,100,1.0493748188018799,1
3,14,1,100,100,1.0493748188018799,1
4,14,1,100,100,1.0493748188018799,1
5,14,1,100,100,1.1148185729980469,1
6,14,1,100,100,1.1148185729980469,1
7,14,1,100,100,1.144813060760498,1
8,14,1,100,100,1.144813060760498,1
9,14,1,100,100,1.146813154220581,1
10,14,1,100,100,1.2192115783691406,1
11,14,1,100,100,1.2222175598144531,1
12,14,1,100,100,1.2585663795471191,1
0,16,1,100,100,0.5858204364776611,1
1,16,1,100,100,1.0493340492248535,1
2,16,1,100,100,1.0493340492248535,1
3,16,1,100,100,1.0493340492248535,1
4,16,1,100,100,1.0493340492248535,1
5,16,1,100,100,1.0493340492248535,1
6,16,1,100,100,1.054208755493164,1
7,16,1,100,100,1.0684177875518799,1
8,16,1,100,100,1.1159319877624512,1
9,16,1,100,100,1.1159319877624512,1
10,16,1,100,100,1.1159319877624512,1
11,16,1,100,100,1.2149341106414795,1
12,16,1,100,100,1.2149341106414795,1
13,16,1,100,100,1.2149341106414795,1
14,16,1,100,100,1.2149341106414795,1
0,18,1,100,100,0.5872001647949219,1
1,18,1,100,100,1.0422937870025635,1
2,18,1,100,100,1.07432222366333,1
3,18,1,100,100,1.07432222366333,1
4,18,1,100,100,1.1349551677703857,1
5,18,1,100,100,1.1349551677703857,1
6,18,1,100,100,1.1349551677703857,1
7,18,1,100,100,1.1349551677703857,1
8,18,1,100,100,1.1349551677703857,1
9,18,1,100,100,1.2361969947814941,1
10,18,1,100,100,1.2361969947814941,1
11,18,1,100,100,1.2361969947814941,1
12,18,1,100,100,1.2361969947814941,1
13,18,1,100,100,1.2411744594573975,1
14,18,1,100,100,1.2411744594573975,1
15,18,1,100,100,1.2411744594573975,1
16,18,1,100,100,1.2421729564666748,1
0,20,1,100,100,0.5856833457946777,1
1,20,1,100,100,1.0551104545593262,1
2,20,1,100,100,1.0551104545593262,1
3,20,1,100,100,1.0551104545593262,1
4,20,1,100,100,1.0551104545593262,1
5,20,1,100,100,1.06032395362854,1
6,20,1,100,100,1.06032395362854,1
7,20,1,100,100,1.06032395362854,1
8,20,1,100,100,1.1266796588897705,1
9,20,1,100,100,1.1266796588897705,1
10,20,1,100,100,1.12968111038208,1
11,20,1,100,100,1.12968111038208,1
12,20,1,100,100,1.12968111038208,1
13,20,1,100,100,1.12968111038208,1
14,20,1,100,100,1.2395267486572266,1
15,20,1,100,100,1.2395267486572266,1
16,20,1,100,100,1.2395267486572266,1
17,20,1,100,100,1.2395267486572266,1
18,20,1,100,100,1.2395267486572266,1
0,2,1,100,100,0.660959005355835,1
0,4,1,100,100,0.6641314029693604,1
1,4,1,100,100,1.0597496032714844,1
2,4,1,100,100,1.1988298892974854,1
0,6,1,100,100,0.6543216705322266,1
1,6,1,100,100,1.0325942039489746,1
2,6,1,100,100,1.0325942039489746,1
3,6,1,100,100,1.0915865898132324,1
4,6,1,100,100,1.2331788539886475,1
0,8,1,100,100,0.6478934288024902,1
1,8,1,100,100,1.056553840637207,1
2,8,1,100,100,1.166799783706665,1
3,8,1,100,100,1.166799783706665,1
4,8,1,100,100,1.2632498741149902,1
5,8,1,100,100,1.2632498741149902,1
6,8,1,100,100,1.2632498741149902,1
0,10,1,100,100,0.6661205291748047,1
1,10,1,100,100,1.0951883792877197,1
2,10,1,100,100,1.0941882133483887,1
3,10,1,100,100,1.1128146648406982,1
4,10,1,100,100,1.1138205528259277,1
5,10,1,100,100,1.115816593170166,1
6,10,1,100,100,1.115816593170166,1
7,10,1,100,100,1.229041576385498,1
8,10,1,100,100,1.229565143585205,1
0,12,1,100,100,0.6778204441070557,1
1,12,1,100,100,1.1066794395446777,1
2,12,1,100,100,1.1066794395446777,1
3,12,1,100,100,1.1392402648925781,1
4,12,1,100,100,1.1392402648925781,1
5,12,1,100,100,1.1392402648925781,1
6,12,1,100,100,1.1392402648925781,1
7,12,1,100,100,1.1392402648925781,1
8,12,1,100,100,1.239729642868042,1
9,12,1,100,100,1.240729570388794,1
10,12,1,100,100,1.240729570388794,1
0,14,1,100,100,0.6654119491577148,1
1,14,1,100,100,1.1506023406982422,1
2,14,1,100,100,1.2242355346679688,1
3,14,1,100,100,1.2262592315673828,1
4,14,1,100,100,1.2242355346679688,1
5,14,1,100,100,1.2402358055114746,1
6,14,1,100,100,1.2422595024108887,1
7,14,1,100,100,1.2572619915008545,1
8,14,1,100,100,1.2572619915008545,1
9,14,1,100,100,1.3342583179473877,1
10,14,1,100,100,1.3322346210479736,1
11,14,1,100,100,1.3492352962493896,1
12,14,1,100,100,1.3522593975067139,1
0,16,1,100,100,0.6820225715637207,1
1,16,1,100,100,1.1330037117004395,1
2,16,1,100,100,1.151892900466919,1
3,16,1,100,100,1.1539180278778076,1
4,16,1,100,100,1.1539180278778076,1
5,16,1,100,100,1.1818945407867432,1
6,16,1,100,100,1.1828956604003906,1
7,16,1,100,100,1.2133047580718994,1
8,16,1,100,100,1.2173304557800293,1
9,16,1,100,100,1.3237338066101074,1
10,16,1,100,100,1.3247325420379639,1
11,16,1,100,100,1.3417582511901855,1
12,16,1,100,100,1.3397331237792969,1
13,16,1,100,100,1.3397331237792969,1
14,16,1,100,100,1.342759370803833,1
0,18,1,100,100,0.7064828872680664,1
1,18,1,100,100,1.1447148323059082,1
2,18,1,100,100,1.171050786972046,1
3,18,1,100,100,1.2170522212982178,1
4,18,1,100,100,1.2170522212982178,1
5,18,1,100,100,1.2170522212982178,1
6,18,1,100,100,1.2180542945861816,1
7,18,1,100,100,1.2330520153045654,1
8,18,1,100,100,1.2330520153045654,1
9,18,1,100,100,1.2350518703460693,1
10,18,1,100,100,1.2360520362854004,1
11,18,1,100,100,1.3278775215148926,1
12,18,1,100,100,1.3278775215148926,1
13,18,1,100,100,1.329878807067871,1
14,18,1,100,100,1.3438758850097656,1
15,18,1,100,100,1.3438758850097656,1
16,18,1,100,100,1.3878757953643799,1
0,20,1,100,100,0.7138140201568604,1
1,20,1,100,100,1.1442739963531494,1
2,20,1,100,100,1.1422348022460938,1
3,20,1,100,100,1.1400585174560547,1
4,20,1,100,100,1.1680457592010498,1
5,20,1,100,100,1.171945333480835,1
6,20,1,100,100,1.1677298545837402,1
7,20,1,100,100,1.1739537715911865,1
8,20,1,100,100,1.1869444847106934,1
9,20,1,100,100,1.1840453147888184,1
10,20,1,100,100,1.190946340560913,1
11,20,1,100,100,1.1889071464538574,1
12,20,1,100,100,1.214907169342041,1
13,20,1,100,100,1.2189462184906006,1
14,20,1,100,100,1.2770464420318604,1
15,20,1,100,100,1.3229098320007324,1
16,20,1,100,100,1.324049472808838,1
17,20,1,100,100,1.3684108257293701,1
18,20,1,100,100,1.3684108257293701,1
0,2,1,100,100,0.6292753219604492,1
0,4,1,100,100,0.6298339366912842,1
1,4,1,100,100,1.0675735473632812,1
2,4,1,100,100,1.274078607559204,1
0,6,1,100,100,0.6431937217712402,1
1,6,1,100,100,1.0832593441009521,1
2,6,1,100,100,1.0992653369903564,1
3,6,1,100,100,1.130277156829834,1
4,6,1,100,100,1.3007497787475586,1
0,8,1,100,100,0.6738219261169434,1
1,8,1,100,100,1.0825092792510986,1
2,8,1,100,100,1.0985097885131836,1
3,8,1,100,100,1.097508430480957,1
4,8,1,100,100,1.1609821319580078,1
5,8,1,100,100,1.1589789390563965,1
6,8,1,100,100,1.174980878829956,1
0,10,1,100,100,0.6511516571044922,1
1,10,1,100,100,1.0881924629211426,1
2,10,1,100,100,1.103193998336792,1
3,10,1,100,100,1.105196475982666,1
4,10,1,100,100,1.2119367122650146,1
5,10,1,100,100,1.2119367122650146,1
6,10,1,100,100,1.2139368057250977,1
7,10,1,100,100,1.2579357624053955,1
8,10,1,100,100,1.30692720413208,1
0,12,1,100,100,0.6626663208007812,1
1,12,1,100,100,1.1108667850494385,1
2,12,1,100,100,1.2197399139404297,1
3,12,1,100,100,1.2187387943267822,1
4,12,1,100,100,1.2347359657287598,1
5,12,1,100,100,1.2657113075256348,1
6,12,1,100,100,1.3294613361358643,1
7,12,1,100,100,1.3284595012664795,1
8,12,1,100,100,1.3284595012664795,1
9,12,1,100,100,1.344459056854248,1
10,12,1,100,100,1.3464596271514893,1
0,14,1,100,100,0.6808693408966064,1
1,14,1,100,100,1.1048681735992432,1
2,14,1,100,100,1.1218693256378174,1
3,14,1,100,100,1.1338675022125244,1
4,14,1,100,100,1.1348686218261719,1
5,14,1,100,100,1.1348676681518555,1
6,14,1,100,100,1.136868953704834,1
7,14,1,100,100,1.1498675346374512,1
8,14,1,100,100,1.1508686542510986,1
9,14,1,100,100,1.1818673610687256,1
10,14,1,100,100,1.2138686180114746,1
11,14,1,100,100,1.215869426727295,1
12,14,1,100,100,1.3900728225708008,1
0,16,1,100,100,0.6526520252227783,1
1,16,1,100,100,1.1070518493652344,1
2,16,1,100,100,1.14105224609375,1
3,16,1,100,100,1.14105224609375,1
4,16,1,100,100,1.186051607131958,1
5,16,1,100,100,1.2140533924102783,1
6,16,1,100,100,1.216052770614624,1
7,16,1,100,100,1.3080565929412842,1
8,16,1,100,100,1.3090550899505615,1
9,16,1,100,100,1.3140521049499512,1
10,16,1,100,100,1.3140530586242676,1
11,16,1,100,100,1.314054012298584,1
12,16,1,100,100,1.314054012298584,1
13,16,1,100,100,1.3150544166564941,1
14,16,1,100,100,1.3190572261810303,1
0,18,1,100,100,0.6577975749969482,1
1,18,1,100,100,1.178152322769165,1
2,18,1,100,100,1.18015456199646,1
3,18,1,100,100,1.18115234375,1
4,18,1,100,100,1.1851532459259033,1
5,18,1,100,100,1.1861543655395508,1
6,18,1,100,100,1.1871566772460938,1
7,18,1,100,100,1.1881544589996338,1
8,18,1,100,100,1.1891610622406006,1
9,18,1,100,100,1.196155071258545,1
10,18,1,100,100,1.1991527080535889,1
11,18,1,100,100,1.2111501693725586,1
12,18,1,100,100,1.2564573287963867,1
13,18,1,100,100,1.2564573287963867,1
14,18,1,100,100,1.3504838943481445,1
15,18,1,100,100,1.3494772911071777,1
16,18,1,100,100,1.3494820594787598,1
0,20,1,100,100,0.7126729488372803,1
1,20,1,100,100,1.1590917110443115,1
2,20,1,100,100,1.1770906448364258,1
3,20,1,100,100,1.1740915775299072,1
4,20,1,100,100,1.1760907173156738,1
5,20,1,100,100,1.1800923347473145,1
6,20,1,100,100,1.179091453552246,1
7,20,1,100,100,1.1920897960662842,1
8,20,1,100,100,1.1950910091400146,1
9,20,1,100,100,1.1940908432006836,1
10,20,1,100,100,1.1920948028564453,1
11,20,1,100,100,1.2000951766967773,1
12,20,1,100,100,1.2010948657989502,1
13,20,1,100,100,1.2120909690856934,1
14,20,1,100,100,1.2100906372070312,1
15,20,1,100,100,1.2230901718139648,1
16,20,1,100,100,1.2370903491973877,1
17,20,1,100,100,1.3400897979736328,1
18,20,1,100,100,1.3410887718200684,1
